pose,ir
[-0.001307  0.000068 -0.094453],	[ 1.662  0.365  0.730  0.462  0.818  0.342]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.365  0.632  0.180  0.818  0.346]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.369  0.859  0.185  0.704  0.347]
[-0.001307  0.000068 -0.094453],	[ 1.539  0.369  0.859  1.071  0.605  0.350]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.352  0.814  0.565  0.818  0.352]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.348  0.844  0.565  0.719  0.341]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.324  0.859  0.679  0.719  0.341]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.316  0.844  0.877  0.767  0.349]
[-0.001307  0.000068 -0.094453],	[ 1.539  0.383  0.859  0.666  0.704  0.342]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.388  0.844  1.090  0.605  0.347]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.424  0.844  0.231  0.632  0.349]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.403  0.829  0.744  0.689  0.350]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.419  0.859  0.831  0.674  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.539  0.408  0.859  1.090  0.421  0.341]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.403  0.844  0.631  0.592  0.351]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.403  0.829  0.470  0.646  0.351]
[-0.001307  0.000068 -0.094453],	[ 1.500  0.446  0.844  0.575  0.580  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.383  0.844  1.071  0.660  0.347]
[-0.001307  0.000068 -0.094453],	[ 1.559  0.369  0.844  1.071  0.458  0.349]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.383  0.844  0.121  0.412  0.346]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.388  0.829  0.012  0.439  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.365  0.844  1.071  0.328  0.352]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.379  0.829  0.893  0.458  0.351]
[-0.001307  0.000068 -0.094453],	[ 1.100  0.403  0.799  0.277  0.379  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.755  0.379  0.844  0.462  1.171  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.848  0.398  0.844  1.014  1.123  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.755  0.388  0.844  1.071  1.171  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.708  0.331  0.844  0.525  1.171  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.664  0.291  0.859  0.340  0.387  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.708  0.291  0.859  0.422  1.171  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.726  0.305  0.859  0.407  1.147  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.278  0.717  0.515  0.421  0.355]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.302  0.717  0.014  0.592  0.352]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.302  0.859  0.454  0.660  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.316  0.844  0.254  0.488  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.331  0.844  0.961  0.544  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.361  0.844  0.996  0.632  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.309  0.844  1.052  0.510  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.298  0.859  0.961  0.499  0.342]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.263  0.844  1.090  0.751  0.339]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.316  0.844  0.978  0.478  0.353]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.327  0.859  0.104  0.704  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.765  0.309  0.859  0.136  0.592  0.353]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.302  0.829  0.132  0.544  0.349]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.285  0.829  0.535  0.488  0.346]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.302  0.844  0.654  1.123  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.327  0.844  0.758  0.510  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.331  0.704  0.654  1.123  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.331  0.537  0.758  0.891  0.353]
[-0.001307  0.000068 -0.094453],	[ 1.620  0.302  0.844  0.744  0.568  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.272  0.844  0.758  0.767  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.275  0.426  0.996  0.704  0.342]
[-0.001307  0.000068 -0.094453],	[ 1.559  0.288  0.744  0.758  0.488  0.342]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.302  0.814  1.090  0.735  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.285  0.547  0.525  0.412  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.302  0.757  0.066  0.468  0.346]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.320  0.844  0.084  0.348  0.353]
[-0.001307  0.000068 -0.094453],	[ 1.539  0.335  0.859  0.943  0.568  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.352  0.844 -0.001  0.302  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.312  0.859  0.216  0.379  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.291  0.844  0.831  0.510  0.352]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.291  0.844  0.162  0.646  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.272  0.717  0.488  0.592  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.620  0.327  0.844  0.679  0.660  0.340]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.339  0.844  0.565  0.605  0.342]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.356  0.844  0.608  0.704  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.335  0.844  0.101  0.532  0.352]
[-0.001307  0.000068 -0.094453],	[ 1.144  0.352  0.859  0.145  0.499  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.929  0.348  0.829  1.071  0.689  0.354]
[-0.001307  0.000068 -0.094453],	[ 0.882  0.348  0.814  1.110  0.605  0.353]
[-0.001307  0.000068 -0.094453],	[ 0.543  0.324  0.844  1.071  0.499  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.244  0.844  0.996  0.660  0.348]
[-0.001307  0.000068 -0.094453],	[ 1.683  0.192  0.844  1.052  0.632  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.252  0.859  0.136  0.605  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.275  0.859  1.071  0.646  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.236  0.859  1.090  0.379  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.288  0.557  0.619  0.970  0.342]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.285  0.311  0.393  0.499  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.312  0.655  0.815  0.387  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.641  0.352  0.588  0.430  0.970  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.316  0.679  0.422  0.468  0.354]
[-0.001307  0.000068 -0.094453],	[ 1.559  0.501  0.643  0.545  0.488  0.346]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.199  0.390  0.323  0.592  0.319]
[-0.001307  0.000068 -0.094453],	[ 1.559  0.185  0.717  0.430  0.660  0.327]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.218  0.457  0.372  0.605  0.351]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.263  0.771  0.454  0.555  0.337]
[-0.001307  0.000068 -0.094453],	[ 1.559  0.320  0.814  0.772  0.801  0.341]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.302  0.799  0.831  0.818  0.346]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.324  0.844  0.340  0.704  0.341]
[-0.001307  0.000068 -0.094453],	[ 1.662  0.316  0.844  0.080  0.751  0.321]
